,lines
417,"Oh, Edmund! she cried."
418,"So you've got in too! Isn't it wonderful, and now-  All right, said Edmund, I see you were right and it is a magic wardrobe after all."
419,I'll say I'm sorry if you like.
420,But where on earth have you been all this time? I've been looking for you everywhere.
421,"If I'd known you had got in I'd have waited for you, said Lucy, who was too happy and excited to notice how snappishly Edmund spoke or how flushed and strange his face was."
422,"I've been having lunch with dear Mr Tumnus, the Faun, and he's very well and the White Witch has done nothing to him for letting me go, so he thinks she can't have found out and perhaps everything is going to be all right after all."
423,"The White Witch? said Edmund; who's she?  She is a perfectly terrible person, said Lucy."
424,"She calls herself the Queen of Narnia though she has no right to be queen at all, and all the Fauns and Dryads and Naiads and Dwarfs and Animals - at least all the good ones - simply hate her."
425,And she can turn people into stone and do all kinds of horrible things.
426,"And she has made a magic so that it is always winter in Narnia - always winter, but it never gets to Christmas."
427,"And she drives about on a sledge, drawn by reindeer, with her wand in her hand and a crown on her head."
428,"Edmund was already feeling uncomfortable from having eaten too many sweets, and when he heard that the Lady he had made friends with was a dangerous witch he felt even more uncomfortable."
429,But he still wanted to taste that Turkish Delight again more than he wanted anything else.
430,Who told you all that stuff about the White Witch? he asked.
431,"Mr Tumnus, the Faun, said Lucy."
432,"You can't always believe what Fauns say, said Edmund, trying to sound as if he knew far more about them than Lucy."
433,Who said so? asked Lucy.
434,"Everyone knows it, said Edmund; ask anybody you like."
435,But it's pretty poor sport standing here in the snow.
436,Let's go home.
437,"Yes, let's, said Lucy."
438,"Oh, Edmund, I am glad you've got in too."
439,The others will have to believe in Narnia now that both of us have been there.
440,What fun it will be!  But Edmund secretly thought that it would not be as good fun for him as for her.
441,"He would have to admit that Lucy had been right, before all the others, and he felt sure the others would all be on the side of the Fauns and the animals; but he was already more than half on the side of the Witch."
442,"He did not know what he would say, or how he would keep his secret once they were all talking about Narnia."
443,By this time they had walked a good way.
444,Then suddenly they felt coats around them instead of branches and next moment they were both standing outside the wardrobe in the empty room.
445,"I say, said Lucy, you do look awful, Edmund."
446,"Don't you feel well?  I'm all right, said Edmund, but this was not true."
447,He was feeling very sick.
448,"Come on then, said Lucy, let's find the others."
449,What a lot we shall have to tell them! And what wonderful adventures we shall have now that we're all in it together.
450," CHAPTER FIVE  BACK ON THIS SIDE OF THE DOOR  BECAUSE the game of hide-and-seek was still going on, it took Edmund and Lucy some time to find the others."
451,"But when at last they were all together (which happened in the long room, where the suit of armour was) Lucy burst out:  Peter! Susan! It's all true."
452,Edmund has seen it too.
453,There is a country you can get to through the wardrobe.
454,Edmund and I both got in.
455,"We met one another in there, in the wood."
456,"Go on, Edmund; tell them all about it."
457,"What's all this about, Ed? said Peter."
458,And now we come to one of the nastiest things in this story.
459,"Up to that moment Edmund had been feeling sick, and sulky, and annoyed with Lucy for being right, but he hadn't made up his mind what to do."
460,When Peter suddenly asked him the question he decided all at once to do the meanest and most spiteful thing he could think of.
461,He decided to let Lucy down.
462,"Tell us, Ed, said Susan."
463,"And Edmund gave a very superior look as if he were far older than Lucy (there was really only a year's difference) and then a little snigger and said, Oh, yes, Lucy and I have been playing - pretending that all her story about a country in the wardrobe is true."
464,"just for fun, of course."
465,There's nothing there really.
466,Poor Lucy gave Edmund one look and rushed out of the room.
467,"Edmund, who was becoming a nastier person every minute, thought that he had scored a great success, and went on at once to say, There she goes again."
468,"What's the matter with her? That's the worst of young kids, they always -  Look here, said Peter, turning on him savagely, shut up! You've been perfectly beastly to Lu ever since she started this nonsense about the wardrobe, and now you go playing games with her about it and setting her off again."
469,I believe you did it simply out of spite.
470,"But it's all nonsense, said Edmund, very taken aback."
471,"Of course it's all nonsense, said Peter, that's just the point."
472,"Lu was perfectly all right when we left home, but since we've been down here she seems to be either going queer in the head or else turning into a most frightful liar."
473,"But whichever it is, what good do you think you'll do by jeering and nagging at her one day and encouraging her the next?  I thought - I thought, said Edmund; but he couldn't think of anything to say."
